year_month,city,city_en,review_count
2025-03,나트랑,Nha Trang,7
2025-03,다낭,Danang,9
2025-03,싱가폴,Singapore,2
2025-04,나트랑,Nha Trang,27
2025-04,다낭,Danang,65
2025-04,싱가폴,Singapore,8
2025-05,나트랑,Nha Trang,34
2025-05,다낭,Danang,77
2025-05,싱가폴,Singapore,14
2025-06,나트랑,Nha Trang,41
2025-06,다낭,Danang,44
2025-06,싱가폴,Singapore,8
2025-07,나트랑,Nha Trang,32
2025-07,다낭,Danang,58
2025-07,싱가폴,Singapore,12
2025-08,나트랑,Nha Trang,25
2025-08,다낭,Danang,55
2025-08,싱가폴,Singapore,18
2025-09,나트랑,Nha Trang,21
2025-09,다낭,Danang,46
2025-09,싱가폴,Singapore,7
2025-10,나트랑,Nha Trang,46
2025-10,다낭,Danang,63
2025-10,싱가폴,Singapore,13
2025-11,나트랑,Nha Trang,25
2025-11,다낭,Danang,42
2025-11,싱가폴,Singapore,13
2025-12,나트랑,Nha Trang,51
2025-12,다낭,Danang,82
2025-12,싱가폴,Singapore,6
2026-01,나트랑,Nha Trang,67
2026-01,다낭,Danang,59
2026-01,싱가폴,Singapore,13
2026-02,나트랑,Nha Trang,56
2026-02,다낭,Danang,60
2026-02,싱가폴,Singapore,9
2026-03,나트랑,Nha Trang,67
2026-03,다낭,Danang,69
2026-03,싱가폴,Singapore,8
