product_code,city,city_en,review_count
APP1314,다낭,Danang,139
APP5259,다낭,Danang,115
APP5359,다낭,Danang,110
APP2528,나트랑,Nha Trang,84
APP9945,다낭,Danang,74
APP0277,나트랑,Nha Trang,61
APP8838,다낭,Danang,56
APP2074,다낭,Danang,55
APP4946,나트랑,Nha Trang,44
APP1141,싱가폴,Singapore,43
APP0233,나트랑,Nha Trang,42
APP0748,나트랑,Nha Trang,39
APP5258,다낭,Danang,34
APP0288,나트랑,Nha Trang,29
APP0266,나트랑,Nha Trang,29
APP0388,나트랑,Nha Trang,24
APP5368,나트랑,Nha Trang,19
APP9636,다낭,Danang,18
APP5211,다낭,Danang,15
APP5567,나트랑,Nha Trang,13
