city,age_band,date,title,content
다낭,60대,2026-03-10,(푸꾸옥) 고객을 최우선으로 생각하고 행동하는 가이드 박우성부장님 고마웠습니다.,"3월 3일(화)~ 6일(토)까지 푸꾸옥에 다녀왔습니다. 호치민과 다낭 그리고 나트랑,달랏을 참좋은 여행사로 즐겁게 다녀와 이번에는 푸꾸옥으로 정했습니다. 먼저, 호텔: 베스트웨스턴 인터넷에서 확인한 것처럼 매우 좋았습니다. 관광(일정): 60대 나이를 잘 배려한 일정으로 역시 최상급이었습니다. 식사: 조식은 호텔에서 먹으니 비교적 좋았습니다. 중식 및 석식은 여행사와 박부장님이 섭외한 식당이었습니다. 별로 기대하지 않고 갔지만 깜짝 놀랐습니다. 먼저 각 가족끼리 식사할 수 있도록 식탁을 배열해 주셨고, 음식은 최상급이었습니다. 가이드(박부장님): 최고의 가이드라고 칭찬해주고 싶습니다. 손님 한 분 한 분을 배려해주는 마음 그리고 엄격하게 통제해주는 능력, 이동 시 다양한 멘트 너무너무 멋졌습니다. 헤어지기 싫었습니다. 여행을 다녀온지 며칠 지났는데도 머릿속에 푸꾸옥의 멋진 배경과 박우성부장님이 생각납니다. 그리고 다시 한 번 보고싶습니다. 이번에는 아내와 함께 갔지만 다음에는 어머님 모시고 아내와 함께 가고 싶은 생각이 듭니다. 박부장님!!! 우리가 안전하게 여행할 수 있도록 도와주셔서 진심으로 감사드립니다. 수고하셨습니다."
다낭,70대,2026-03-07,"70대 부부의 3박 5일 쉼표 여행, 패키지로 다녀오길 참 잘했네요!","이번 여행은 예전부터 마음속에 담아두었던 다낭과 호이안 코스로 다녀왔습니다. 이제는 나이가 있다 보니 중국, 일본처럼 가까운 곳 위주로 다니곤 하는데, 이번에는 큰맘 먹고 동남아로 향했네요. 4 ~5시간의 비행이 체력적으로 아주 쉽지는 않았지만, 막상 도착해서 마주한 풍경들은 그 피로를 잊게 해주었습니다. 특히 이번 여행이 유독 수월했던 이유는 김영호 가이드님의 노련한 진행 덕분이었어요. 패키지 여행이라 서두를까 봐 걱정했는데, 일정 내내 저희 부부의 속도에 맞춰 배려해 주신 덕분에 아주 여유롭고 뜻깊은 시간을 보낼 수 있었습니다. 남편과 함께 호이안의 밤거리를 걷고, 맛있는 현지 음식을 먹으며 보낸 3박 5일은 평생 잊지 못할 선물 같은 시간이었습니다. 혹시 다낭 여행을 고민하시는 분들이 있다면, 좋은 가이드님과 함께하는 패키지 여행을 꼭 추천하고 싶네요"
다낭,20대,2026-02-22,참좋은이 참~좋았습니다~^^,"남편과 20대때 각자.다녀온 태국을 중2되는 아들과 세식구가 설명절에 함께 다녀왔습니다~ 작년에 다낭여행도 참좋은여행으로 즐겁게 다녀와서 올해도.기대하며… 참좋은여행 예약할때부터… 조초희담당자분을 만나서 신경써주신 덕분에 너무 좋은상품을 좋은가격에 예약해서 조초희담당자분께감사하고, 3박5일동안에 만난 성상훈가이드님은 정말 친근하게 재미나게 여행을 가이드해 주셨습니다~ 처음에 일행과 만났을때 당황스러운 상황이 있었지만 노련함과 재치로 덕분에 잘 넘어갈수 있었습니다~ 우리팀은 이번에 우리3식구 포함해서 총16명이었는데…각기다른 색깔을 가지신분들을 여유롭게 겸손하게 가이드해주셨습니다~덕분에 마지막.공항까지도 세심하게 배려해주신 성상훈가이드님 너무 감사드립니다~^^ 그리고.패키지의.꽃 ~ㅎㅎ 쇼핑센터에서도… 라텍스(슬립 포 미)에서 우리가족을 담당해주신 화끈하신 마메니저님 만난것이 감사했어용~마메니져님 만나시면 내가 이런말을 하는 이유를 아실것입니다~(쇼핑센터에서 왠만하믄 이름은 안물어보는데…처음으로 물어본이름이네요~ㅎ) 너무 좋으신분들을 만나서 감사했어요~ 그런데 마지막으로 파타야숙박과 버스는 시정했으면합니다~ 방콕에서 쉐라톤은 좋았는데… 파타야숙박은 (이름도 기억이 안나는)문도.잘 안열리는 좁고 낡은리조트 느낌에 메트리스도 너무 안좋아서 허리가 아팠구요…ㅠㅠ 그리고 버스도 너무 낡은데다가 마이크가 너무 안좋아서 가이드님의 설명을 깨끗한 음질도 잘.듣지못했네요 (다낭때 차량과는 너무.비교가 되었네요…ㅠ) 이런 악조건속에서도 최선을 다해서 태국에 대해서 재미있게 설명해주신 성상훈가이드님은 수고많으셨습니다~마지막 헤어질때 하신 말씀이…가족을대하는 기분으로 대하신다고 애기하셨는데…저도 개인적으로 재미있게 애기하는 외삼촌같은 느낌을 받아서 너무 편안한여행이었습니다~ 파타야숙박과.버스는 꼭~시정해주시길 바라며~ 이번에도 즐거운여행이었습니다~"
다낭,20대,2026-02-20,가족 다낭여행,"김문성 가이드님이 가이드를 해주셨고 20대 딸 둘, 부모님 이렇게 갔다왔습니다! 일단 다낭 공항에 도착했을 때 저희 픽업해주시기 위해 큰 버스가 있었는데 저희만이었는데도 버스로 데려다 주셔서 감사했습니다. 현지인 가이드님, 김문성 가이드님 모두 어떠한 명소에 갈 때마다 가족 단체사진을 찍어주셨고 그러면서 건진 사진이 너무너무 많습니다! 또 망고, 망고스틴 저희가 먹고 싶다고 하셔서 새벽시장에 갔다오셔서 사다주시고 신기한 과일들도 볼 수 있게끔, 맛볼 수 있게끔 해주셔서 정말 감사했었어요 저희가 다낭 장소에 갔을 때 이해가 갈 수 있게끔 스토리를 다 설명해주시고 사소한 이야기들을 너무 재밌게 해주셔서 감사했어요 덕분에 장소 갈 때마다 이러한 이유로 이렇게 되어있구나 라는 걸 알게됐습니다. 저희가 여행하기 편리하게끔, 재밌게끔, 다치지않게끔 가장 이 여행에서 신경쓰셨던 분이셨는데 충분히 힘들 수 있음에도 항상 김문성가이드님께서 현지인가이드님과 웃으면서 저희를 계속 챙겨주셨던 기억이 아직도 좋습니다! 정말 3박 5일동안 덕분에 너무 행복한 기억으로 자리잡았던 경험이었습니다. 김문성 가이드님 너무 감사했습니다! (딸 둘 있으신 아버지께서 술을 드셨는데 딸 둘이 옆에서 잔소리 했을 때, 같이 옆에서 몸 건강에 대해서 한마디 해주셔서 딸입장에서는 더더욱 좋았고 감사했습니다~) 다음에도 다낭 가게된다면 김문성 가이드님을 만났으면 하는 바램입니다!"
다낭,70대,2026-02-05,8박9일 튀르키예여행-마눌님 칠순을 기념하여(김경구{Mr.Martin})님과함께,"참 좋은 여횅사를 처음 접한것은 2년전,고교 동기동창들의 졸업 50주년 기념으로 백령도 1박2일여행으로 접하게 되었읍니다. 그 뒤 지난 해 2월 온가족 베트남 다낭여행이었다. 이번 여행은 아내의 칠순을 기념하기위해 지난헤 9월에 예약하여 그 꿈을 이루었다. 이번 여행의 느낌을 몇자 적어보고자 한다. 1. 일정 : 너무 빡빡한 일정에 우리같이 70대인 사람에게는 너무 무리인듯하다.그러나 본인이 선택한 것이니 감수할 수 밖에... 2. 선택관광 : 선택관광을 하지 않으면 할일이 없는, 아예 선택관광에 맞춰진 일정이어서 이건 아닌것 같다. 선택관광을 하지 않 은 사람들에 대한 배려가 전혀 없어 울며 겨자 먹기로 선택관광을 할 수 밖에 없는 상황으로 느껴진것은 나만의 생각일까? 3. 쇼핑 : 이번 여행의 쇼핑은 80%정도 만족이다. 집사람 칠순에 좋은 선물 할 수 있어 좋았다. 4. 식사 : 11대 특식이라 광고 했는데 과연 무었이 특식이었는지 도무지 이해가 안갑니다. 한두끼정도는 그나마 먹을만 했다고 할까? 제가 중동에서 오랫동안 공사에 참여하면서 먹어본 음식과 비교해도 너무 빈약한 수준이라 생각된다. 4. 가이드 : 이번 후기의 중점사항으로 우리 가이드(김경구-마틴)에 대해 평 하고자 한다. 1966년 병오생 말띠이시더군요,제가 1954년생(갑오생,호적은 1955년생)이니 띠 동갑인 셈이지요. 가이드 업을 30여년 넘게 했다더군요. 오랜 세월 한 업종에 종사하다 보니 전문가다운 포스가 흘러 넘쳤습니다. 특히 역사에 관한 해박한 지식은 막힘이 없었구요, 또한 종교역사에 대해서도 전문가 이상이더군요. 아프리카,유럽,아시아를 넘어 남미로 진출코자 한다니 존경하게 될 것 같습니다. Hot Spot 에서 사진도 멋있게 잘 찍 어 주시고 여행 마치고 이스탄불 공항에서 귀국하던 날, 마지막 여행객이 수하물 부치고 이미그레션 통 과 직전까지 돌아가지 않고 끝까지 배웅해 주심에 감동이었습니다. 이런 마음은 나만의 생각은 아닐거라 생각합 니다. 이와같은 능력있는 가이드들로 참 좋은 여행사가 일취월장하시길 기원 합니다. 오늘 김경구 씨로부터 사진을 받았습니다. 다시한번 감사드립니다. 저는 이번 여름 미국 서부 여행을 계획하고 있습니다. 참좋은 여행사를 통해 갈 수 있었으면 더 좋겠습니다. 감사합니다.끝"
다낭,60대,2026-01-28,박@균 가이드님 후기,"저도 박@균 가이드님 팀으로 총 31명 중 한 팀에 포함되어 여행을 했습니다. 다만 이곳에 올라온 다른 후기들과는 다소 다른 경험을 하여 참고 차원의 후기를 남깁니다. 첫 만남부터 베트남 역사나 지역적 배경에 대한 설명보다는 “이런 내용은 관심 없으시지 않느냐”는 말씀과 함께 가벼운 농담 위주의 진행이 많았습니다. 어린아이들이 동행한 팀이었는데, 그로 인해 농담을 더 하지 못하겠다는 말씀을 여러 차례 들었습니다. 아이들이 동반된 일정임을 알고 계셨다면, 전반적인 진행 방식에 조금 더 배려가 있었으면 하는 아쉬움이 남습니다. 전반적으로 50~60대 동창회나 단체 모임에는 잘 맞을 수 있으나, 일반 관광 가이드로서는 기존에 경험했던 다른 가이드분들과 비교해 아쉬운 점이 있었습니다. 쇼핑 일정과 관련해서는 예약 단계에서부터 우려했던 부분이 실제로도 아쉬움으로 이어졌습니다. 결제 직전 상품평에 쇼핑 강매가 심하다는 후기가 있었으나 ‘설마’ 하는 마음으로 예약을 진행했습니다. 하지만 실제 여행 중에는 가이드 역시 구매를 유도하는 분위기였고, 한 판매점에서는 왜 추가 구매를 하지 않느냐는 취지의 판매점 사장과 가이드 간의 대화를 우연히 듣게 되어 불편함을 느꼈습니다. 사전에 안내받은 쇼핑 일정은 2곳이었으나, 실제로는 커피, 침향, 갤러리아 쇼핑센터, 망고샵까지 총 4곳을 방문했습니다. 일부 관광객의 요청으로 방문하는 일정이라는 설명을 들어 크게 문제 삼지 않고 따랐지만, 여행을 마치고 공항에 와서 돌아보니 전반적으로 가격대가 높은 상품 위주였다는 점에서 아쉬움이 남았습니다. 호텔과 식사는 전반적으로 만족스러웠습니다. 다만 쇼핑센터에 약 1시간 50분이 소요된 반면, 바나힐은 같은 시간 안에 관광과 저녁식사를 모두 마쳐야 해 일정이 매우 촉박했고, 다낭 대성당 등 일부 주요 관광지는 5분 내외의 짧은 관람으로 끝나 아쉬움이 컸습니다. 차라리 더 높은 가격을 지불하더라도 노쇼핑 상품을 선택했으면 시간 활용 면에서 더 나았을 것이라는 생각이 들었습니다. 또한 일정 마지막에는 현지 가이드 비용 명목으로 팀당 10달러의 추가 비용을 요청받아 지불했습니다. 가이드 설명으로는 손님들이 원해서 진행되는 부분이라고 했지만, 사전에 명확하게 선택 의사를 묻는 과정은 없었던 점도 아쉬웠습니다. 지금까지 다른 여행 상품들을 이용하면서 이 정도로 강매에 가깝게 느껴진 경험은 없었고, 구매를 하더라도 이렇게까지 불편했던 적은 없었기 때문에 이번 상품을 선택했는데, 베트남 여행 상품의 특성인지 아니면 제가 상품 선택을 잘못한 것인지 스스로 돌아보게 되었습니다. 그 과정에서 가족에게 괜히 불편한 경험을 하게 한 것 같아 미안한 마음도 들었습니다. 그동안 참좋은여행사를 통해 가족여행을 여러 차례 다녀 전반적으로 만족도가 높았고, 포인트 사용 겸 가까운 다낭을 선택했지만 이번 여행은 개인적으로 만족도가 가장 낮았습니다. 이 후기를 보시는 분들께는 비용이 다소 들더라도 노쇼핑 상품을 선택하시는 것을 권해드리고 싶습니다. 종합적으로 다낭 여행 자체는 ★4.5 가이드 만족도는 ★2.0 정도로 평가하고 싶습니다"
다낭,20대,2025-12-23,지소영 가이드님 덕분에 즐겁고 행복한 라오스 가족여행,"태국, 베트남 다낭 동남아 가족여행을 과거에 다녀왔지만 이번 라오스여행이 정말 좋았습니다. 갑자기 아이들 일정에 맞추어 한달전에 예약해서 12월 18일부터 22일까지 3박5일 다녀오게 되었는데 반팔에 바람막이, 양말 안신고 샌들신고 다닐정도로 날씨가 좋았고 비엔티안의 무엉탄 럭셔리 호텔, 루앙프라방 앙통호텔 조식 샐러드도 풍부하고 맛있었어요, 또 방비엥 그랜드리버사이드 호텔은 샐러드는 없었는데 쌀국수하고 빵이 정말 맛있었어요 저녁에 먹은 삼겹살, 스테이크 등 한국식 음식 우리나라보다 훨씬 좋았고 상추, 모닝글로리 등 무제한 리필해주시고 태국 베트남보다 음식은 훨씬 훌륭합니다. 여행중 3~4kg 몸무게가 늘었네요 선택관광으로 짚라인, 카누, 롱테일보트는 정말 돈이 아깝지 않을 정도로 힐링이 되었어요 강 주변에 장가계하고 비슷한 풍경이 일품입니다. 블루라군에서 에메랄드 호수에서의 수영은 정말 오랜만에 동심으로 가서 아이들과 수영을 한것 같네요 또 꽝시폭포는 석회하천이 만들에낸 그랜드 캐년 같은 장관입니다. 이번여행에서 정말 좋았던 것은 지소영 부장님 덕분입니다. 일행중에 나이 많으신분들이 대부분이었는데 움직임이 둔하고 같은말을 또물어봐도 짜증내지 않고 친절하게 잘 설명하시고 라오스에 오래사셔서 그런지 여러가지 광범위한 해설 너무 좋았습니다. 귀국해서 지소영 가이드님이 찍어준 사진을 카톡으로 받았는데 정말 사진 잘찍으셨더라구요 감사합니다. 마지막날 비엔티안 공항에서 출국대기할때 VIP실에서 대기할수 있게 해준 참좋은 여행사 너무 감사합니다. 아쉬운점 1) 인천공항 미팅장소의 참좋은 여행사라는 명찰달고 설명하시던 남자분 너무 형식적이고 성의없게 설명하십니다. 2) 저가항공 티웨이 항공이라 좁고 식사없는 것은 견딜만한데 라오스 갈때 너무 늦게까지 식사, 음식 주문으로 잠 자는데 방해됨 3) 가급적 연령대가 비슷한 사람끼리 그룹을 해주면 더 좋을듯 불가피 했겠지만 저희 가족은 제가 50대 중반 (애들은 20대 초반)인데 나머지 7분은 7~80대 분들이라 걸음도 느리고 말씀도 많고, 어둔하기도 하고, 자꾸 대화하면 충고하고 가르치는 듯하고 해서 약간 불편했습니다. 이번 여행을 점수로 따지면 100점 만점에 95점 정도는 되는 것 같습니다. 지소영 가이드님 완벽했습니다. 담에 또 뵈면 좋겠어요, 건강하시고 행복하십시요 바빠서 두서없이 글을 썼는데 참좋은 여행사 굿입니다."
다낭,50대,2025-12-23,지소영 가이드님 덕분에 즐겁고 행복한 라오스 가족여행,"태국, 베트남 다낭 동남아 가족여행을 과거에 다녀왔지만 이번 라오스여행이 정말 좋았습니다. 갑자기 아이들 일정에 맞추어 한달전에 예약해서 12월 18일부터 22일까지 3박5일 다녀오게 되었는데 반팔에 바람막이, 양말 안신고 샌들신고 다닐정도로 날씨가 좋았고 비엔티안의 무엉탄 럭셔리 호텔, 루앙프라방 앙통호텔 조식 샐러드도 풍부하고 맛있었어요, 또 방비엥 그랜드리버사이드 호텔은 샐러드는 없었는데 쌀국수하고 빵이 정말 맛있었어요 저녁에 먹은 삼겹살, 스테이크 등 한국식 음식 우리나라보다 훨씬 좋았고 상추, 모닝글로리 등 무제한 리필해주시고 태국 베트남보다 음식은 훨씬 훌륭합니다. 여행중 3~4kg 몸무게가 늘었네요 선택관광으로 짚라인, 카누, 롱테일보트는 정말 돈이 아깝지 않을 정도로 힐링이 되었어요 강 주변에 장가계하고 비슷한 풍경이 일품입니다. 블루라군에서 에메랄드 호수에서의 수영은 정말 오랜만에 동심으로 가서 아이들과 수영을 한것 같네요 또 꽝시폭포는 석회하천이 만들에낸 그랜드 캐년 같은 장관입니다. 이번여행에서 정말 좋았던 것은 지소영 부장님 덕분입니다. 일행중에 나이 많으신분들이 대부분이었는데 움직임이 둔하고 같은말을 또물어봐도 짜증내지 않고 친절하게 잘 설명하시고 라오스에 오래사셔서 그런지 여러가지 광범위한 해설 너무 좋았습니다. 귀국해서 지소영 가이드님이 찍어준 사진을 카톡으로 받았는데 정말 사진 잘찍으셨더라구요 감사합니다. 마지막날 비엔티안 공항에서 출국대기할때 VIP실에서 대기할수 있게 해준 참좋은 여행사 너무 감사합니다. 아쉬운점 1) 인천공항 미팅장소의 참좋은 여행사라는 명찰달고 설명하시던 남자분 너무 형식적이고 성의없게 설명하십니다. 2) 저가항공 티웨이 항공이라 좁고 식사없는 것은 견딜만한데 라오스 갈때 너무 늦게까지 식사, 음식 주문으로 잠 자는데 방해됨 3) 가급적 연령대가 비슷한 사람끼리 그룹을 해주면 더 좋을듯 불가피 했겠지만 저희 가족은 제가 50대 중반 (애들은 20대 초반)인데 나머지 7분은 7~80대 분들이라 걸음도 느리고 말씀도 많고, 어둔하기도 하고, 자꾸 대화하면 충고하고 가르치는 듯하고 해서 약간 불편했습니다. 이번 여행을 점수로 따지면 100점 만점에 95점 정도는 되는 것 같습니다. 지소영 가이드님 완벽했습니다. 담에 또 뵈면 좋겠어요, 건강하시고 행복하십시요 바빠서 두서없이 글을 썼는데 참좋은 여행사 굿입니다."
다낭,60대,2025-12-11,최악의 가이드에 대해 조치가 필요합니다.,"엄마랑 이모 기분 전환 시켜드리기 위해 급하게 알아본 여행입니다. 기대에 부풀어 다낭에 가셨는데, 일정 내내 비가 왔어요~ 비가 오는 것은 천재지변이니 어쩔 수 없는 부분이라 생각합니다. 하지만... 참좋은여행을 통해 만난 가이드님은 정말 역대급 최악이라고 하십니다. 67세의 가이드님은 장소, 안내에 대한 설명을 해 주지도 않고, 건강 이야기만 하며, 고객들을 챙기는 모습이 전혀 없어 엄마랑 이모는 옆 가이드의 설명을 듣기도 하셨다고 해요~ 관광 장소에 가면 적어도 그 곳이 어떤 곳인지 정도는 설명을 해 주셔야 하는게 가이드님의 역할이라고 생각하는 1인인데 기본적인 역할은 하지도 않고, 건강 이야기만 했다는 것이 기분이 너무 나쁘더라구요... 여행 상품보다 가이드 배정이 너무나 중요하다는 것을 깨닫게 되네요~ 기분 좋게 보내드린 여행인데, 최악이라고 말씀하시는거 들으니 저도 너무 속이 상합니다. 이것은 여행사 측에서 가이드에 대해 교육을 해야하는거 아닌가 할 정도입니다."
다낭,40대,2025-11-14,조성재 가이드님~ 조쿤~ 좋아요~!!,"안녕하세요. 저는 40대 초반 여성입니다. 이번 북해도 여행을 중고등학교 동창인 오래된 친구와 둘이서 함께 했습니다. 여행 가기전 일본여행이 처음인지라 걱정을 많이 했었는데, 조성재 가이드님을 만난건 정말 행운이었어요~!! 패키지 여행의 꽃은 가이드님이라고 생각하는데, 3박 4일 내내 가이드님께 감사한 마음 뿐이었습니다. 가이드님이 다소 어린 나이라서 고객들이 사전에 걱정을 하시기도 한다는 말씀에 살짝 찔리기도 했어요~ 다소 미숙하시진 않을까 우려도 됐던것이 사실이었지만, 괜한 걱정이었더군요. 조쿤은 젊은 열정이 가득하셨고, 무엇보다 빠릿빠릿 하시면서 일이 순조롭게 진행되는점이 제일 좋았습니다. 잘 웃으시면서 일본 이야기와 역사도 재밌게 말씀해주셔서 이동시간에도 전혀 지루하지 않았어요~ 아주 유용한 쇼핑팁들도 알려주셔서 합리적 소비도 했습니다. 제가 건강상의 이유로 배려받을 일들이 많았는데, 사전에 말씀드리니 센스있게 다른분들이 알아차리지 못하시게 도움을 많이 주셔서 정말 감사했습니다. 가이드님의 말씀을 3박4일 듣다보니, 참 따뜻한 사람이구나 절로 느껴졌어요. 함께 여행하셨던분들도 조성재 가이드님 칭찬을 많이 하시더군요~ 저는 이번 북해도 여행을 마음에 새기고 또 힘차게 일상을 살아가보렵니다! 그 힘의 가운데에 조성재 가이드님이 계세요!!!! 혹시라도 현장에서 힘들고 지치는 일이 있으실때 저와 같이 가이드님과 함께한 여행으로 힘을 내고 살아가는 사람이 있다는걸 기억해주셨으면 해요~^^ 언제나 건강하시고 가정에 평화가 항상 함께하시길 바랍니다. 올해 3월 아버지 칠순여행으로 참좋은여행에서 다낭여행을 다녀온후 좋았던 기억으로 이번 북해도 여행도 참좋은여행에서 하게되었는데요, 다음 여행도 참좋은여행을 통해 할것 같아요~ 모두모두 감사합니다~"
