event_cd,god_id,dep_dt,arr_dt,dep_place_nm,depart_deptm,retn_deptm,retn_arrtm,evt_dt_cnt,evt_night_cnt,carrer_nm,carrer_abbr,carry_apo_nm,price_adt,price_chd,price_inf,evt_person_cnt,evt_status_nm,evt_nm1,evt_nm2,upd_dt_evt
B27A260328TW065,64320,2026-03-28,2026-04-01,대구,18:55,01:00,07:25,5,3,티웨이항공,TW,1981,469000,469000,150000,12,행사취소,"★초특가/출발임박★대구 [여행 그 이상의 경험] 다낭,호이안 5일",▶[코트야드 바이 메리어트][2025년 신규 오픈],2026-03-04 15:18:27
B27A260613RS023,63314,2026-06-13,2026-06-17,인천,20:55,00:40,07:15,5,3,에어서울,RS,1043,479000,479000,150000,20,판매중,"#선착순6명특가[RS][웹예약한정] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],2026-03-13 18:34:06
B27A260627LJ022,62443,2026-06-27,2026-07-01,부산,21:15,01:00,07:15,5,3,진에어,LJ,1543,499000,499000,150000,16,판매중,"부산 [진에어] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],2026-02-26 16:14:42
B27A260413LJ031,63032,2026-04-13,2026-04-17,부산,21:00,00:40,06:50,5,3,진에어,LJ,1543,499000,499000,150000,0,행사취소,"부산 [진에어_183] 다낭,호이안 5일",▶[래디슨],2026-02-23 09:50:29
B27A260610TW088,63501,2026-06-10,2026-06-14,대구,21:10,01:30,08:15,5,3,티웨이항공,TW,1981,499000,499000,150000,8,판매중,"[주말특가] 대구 [지금 더 특별한 여행 ALL SUITE] 다낭,호이안 5일/6일",▶[멜리아빈펄(스위트룸)],2026-03-13 14:46:18
B27A260328TW126,60707,2026-03-28,2026-04-02,대구,18:55,01:30,08:15,6,4,티웨이항공,TW,1981,499000,499000,150000,0,판매마감,"★초특가★대구 [4박6일][NO팁/NO옵션] 다낭,호이안 5일",▶5성급호텔+마사지2회+바구니배+씨클로+한강유람선,2026-03-06 10:14:20
B27A260329TW117,62417,2026-03-29,2026-04-03,대구,21:10,01:30,08:15,6,4,티웨이항공,TW,1981,519000,519000,150000,0,판매마감,"대구 [4N6D][지금 더 특별한 여행 ALL SUITE] 다낭,호이안 6일",▶[멜리아빈펄(스위트룸)],2026-03-10 16:00:01
B27A260323LJ062,62653,2026-03-23,2026-03-27,부산,21:00,00:40,06:50,5,3,진에어,LJ,1543,529000,529000,150000,0,행사취소,"부산 [진에어_LJ183][NO팁_NO옵션_자유시간 보장] 다낭,호이안 5일",▶[5성급호텔],2026-03-16 14:12:44
B27A260628TW067,62401,2026-06-28,2026-07-02,인천,21:35,01:25,08:15,5,3,티웨이항공,TW,1043,539000,539000,150000,16,판매중,"[TW013] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],2026-02-25 16:54:32
B27A260613TW073,62122,2026-06-13,2026-06-17,인천,21:35,01:25,08:15,5,3,티웨이항공,TW,1043,539000,539000,150000,16,판매중,"[TW013] 다낭,호이안 5일",▶[포 포인츠 바이 쉐라톤],2026-02-25 16:52:19
