god_id,agency_id,god_cd,god_nm1,god_nm2,god_title,god_point,grd_nm,god_gb1_nm,god_gb2_nm,area_mc_nm,area_sc_nm,city_list,thema_nm,menu_4lvl_nm,search_keyword,travel_style,image_url,reg_dt,upd_dt
64320,1,B27A-0764320,"대구 [여행 그 이상의 경험] 다낭 ,호이안 5일",▶[코트야드 바이 메리어트(RIVER VIEW ROOM)] (2025신규오픈),◎ ['2025'신규 OPEN 5성급 호텔] [씨티뷰→리버뷰 업그레이드] [미슐랭선정 3회 포함 차별화 6大특식] [럭셔리 인기 마샤지샵(팁 포함)] [2대 야경투어_호이안X바나힐] [자유시간 총 3회],"[여행 그 이상의 경험, SPECIAL MOMENT IN DANANG] #2025 신규 OPEN, 5성급 호텔 3연박 씨티뷰→리버뷰 #더 업그레이드 된 식사_2024 미슐랭 선정 3회 + 현지 인기 맛집 담당자 엄선 6大 특식 #낭만가득 여유가득, 2대 야경투어[바나힐X호이안] #자유시간 총 3회 전격보장(오전 자유시간 + 바나힐 1시간 + 호이안 1시간 제공) #색다른 여행 색다른 경험 IN 다낭 ★바나힐 테마파크(케이블카 탑승+골든브릿지 등) [$70상당] ★호이안 야경투어(야시장, 연등구경, 소원초 띄우기) [$30상당] ★지정샵 스톤 전신 마사지 90분 [$30상당] ★호이안 거리에 가득한 아름다운 풍등 DIY 클래스 [$10상당] ★후기 폭발_베트남 전통의상입고 인생샷 찰칵 [$10상당]",정통,패키지,일반패키지,동남아,다낭,"다낭,호이안,대구",,다낭/호이안,다낭,휴양형,http://dimgcdn.lottetour.com/TN/6a/6a10a6dcdd1e93930084f8815c5063b5.tn.300x200.jpg,2025-06-26 09:30:09,2026-03-18 11:11:09
63314,1,B27A-0763314,"[주말특가][지금 더 특별한 여행 ALL SUITE] 다낭 ,호이안 4/5일",▶[멜리아빈펄(스위트룸)],◎ [전 일정 5성급 월드체인 스위트룸(DLB) 업그레이드] [자유시간 3회(호텔 오전+바나힐+한시장)] [스톤마사지_UP] [호이안 낮과 밤 완전정복] [미슐랭 선정 맛집 2회 포함 차별화 6大특식],"[DANANG & SWEET] 여행의 시작과 끝, ALL SUITE ROOM, 멜리아빈펄 다낭 리버프런트 # 전 일정 5성급 월드체인호텔 SUITE ROOM(DLB) 숙박 # 자유시간 2회 제공 # 알차고 특별한 혜택 - 바나힐 테마파크(케이블카탑승+골든브릿지 등) [$70상당] - 호이안 야경투어(야시장, 연등구경 및 소원초띄우기) [$30상당] -'세계 6대 해변'이라 불리는 미케비치 템플다낭에서 음료제공 (음료OR커피 1잔 제공) - 전신마사지 60분 → 스톤 전신마사지 90분 업그레이드 # '식사의 기준을 높이다' # 단체식당 OUT, 식당 실명제 _ 전일정 차별화 6대 특식",정통,패키지,일반패키지,동남아,다낭,"다낭,인천,호이안",,다낭/호이안/후에,다낭,휴양형,http://dimgcdn.lottetour.com/TN/dc/dc29fa8dc095a59fb90448a78ad743c9.tn.300x200.png,2025-01-17 11:43:21,2026-03-20 13:54:07
62443,1,B27A-0762443,"부산 [지금 더 특별한 여행 ALL SUITE] 다낭 ,호이안 5일",▶[멜리아빈펄(스위트룸)],◎ [전 일정 5성급 월드체인 스위트룸(DLB) 업그레이드] [자유시간 3회(호텔 오전+바나힐+한시장)] [스톤마사지_UP] [호이안 낮과 밤 완전정복] [미슐랭 선정 맛집 2회 포함 차별화 6大특식],"[DANANG & SWEET] 여행의 시작과 끝, ALL SUITE ROOM, 멜리아빈펄 다낭 리버프런트 # 전 일정 5성급 월드체인호텔 SUITE ROOM(DLB) 숙박 # 자유시간 2회 제공 # 알차고 특별한 혜택 - 바나힐 테마파크(케이블카탑승+골든브릿지 등) [$70상당] - 호이안 야경투어(야시장, 연등구경 및 소원초띄우기) [$30상당] -'세계 6대 해변'이라 불리는 미케비치 템플다낭에서 음료제공 (음료OR커피 1잔 제공) - 전신마사지 60분 → 스톤 전신마사지 90분 업그레이드 # '식사의 기준을 높이다' # 단체식당 OUT, 식당 실명제 _ 전일정 차별화 6대 특식",정통,패키지,일반패키지,동남아,다낭,"다낭,호이안,부산",,BEST 인기상품,다낭,휴양형,http://dimgcdn.lottetour.com/TN/dc/dc29fa8dc095a59fb90448a78ad743c9.tn.300x200.png,2024-08-02 10:03:48,2026-03-20 19:25:18
63032,1,B27A-0763032,"부산 [다시, 푸른바다 미케비치 위에 서다] 다낭 ,호이안 5일",▶[래디슨],"◎ [미케비치 바로 앞, 월드체인 호텔 숙박 #시티뷰→오션뷰] [데일리 마사지 1일 1회] [바나힐&호이안 야경투어] [미슐랭 선정 2회 + 5성급 호텔식 포함 차별화 6大특식][신라망고빙수]","다채로운 AMAZING 특전 BIG1. 데일로 마사지로 1일 1 마사지 ! 진정한 힐링 그 자체 BIG2. 포브스 선정 세계 6대 해변 '미케비치'가 펼쳐진 '디럭스 오션뷰' 무료UPGRADE BIG3. 빠질 수 없는 다낭X호이안 핵심 관광 포함 ① ★바나힐 테마파크(케이블카탑승+골든브릿지 등) ② 시내 관광(다낭 대성당, 마블마운틴, 린응사) ③ 다낭에 방문객 만족도 1위! 아오자이 체험 ① ★야경투어(야시장,연등구경,소원초 띄우기) ② ★투본강 보트투어 ③ 호이안 올드타운 관광 BIG4. 롯데관광이 준비한 특별 추가 특전 ① 성인 12명 이상 시 우리끼리 단독행사 진행 ② 신라모노그램 다낭 ‘망고빙수’ 제공 ③ 객실당 과일바구니 제공",정통,패키지,일반패키지,동남아,다낭,"다낭,호이안,부산",,다낭/호이안,다낭,휴양형,http://dimgcdn.lottetour.com/TN/5e/5e45c04806ce6d8608bb49b21c1c0c12.tn.300x200.jpg,2024-11-14 10:54:42,2026-03-20 18:40:10
63501,1,B27A-0763501,"[주말특가] 대구 [지금 더 특별한 여행 ALL SUITE] 다낭 ,호이안 5일/6일",▶[멜리아빈펄(스위트룸)],◎ [#전 일정 5성급 월드체인 스위트룸(DLB) 업그레이드][#자유시간 2회(오전 1회+바나힐 1시간)][#스톤마사지_UP][#호이안 낮과 밤 완전정복][#미슐랭 선정 맛집 1회 포함 차별화 6大특식],"[DANANG & SWEET] 여행의 시작과 끝, ALL SUITE ROOM, 멜리아빈펄 다낭 리버프런트",정통,패키지,일반패키지,동남아,다낭,"다낭,대구,호이안",,다낭/호이안,다낭,휴양형,http://dimgcdn.lottetour.com/TN/70/70379769af9e1a2a1a974c92fb0af688.tn.300x200.png,2025-02-19 10:51:00,2026-03-18 11:11:09
60707,1,B27A-0760707,"대구 [NO팁/NO옵션] 다낭 ,호이안 5일/6일",▶5성급호텔+마사지2회+바구니배+씨클로+한강유람선,◎ 추가경비가 없는 노팁!! 노옵션!! 전일정 5성급호텔 투숙!!,부담을 줄인 #NO옵션 상품 패키지 여행,정통,패키지,일반패키지,동남아,다낭,"다낭,대구,호이안",,다낭/호이안,다낭,휴양형,http://dimgcdn.lottetour.com/TN/14/14a25c8cc8585200211c5977374dfd77.tn.300x200.jpg,2023-10-11 11:15:31,2026-03-18 11:11:09
62417,1,B27A-0762417,"대구 [지금 더 특별한 여행 ALL SUITE] 다낭 ,호이안 5일/6일",▶[멜리아빈펄(스위트룸)],◎ [전 일정 5성급 월드체인 스위트룸(DLB) 업그레이드] [자유시간 3회(호텔 오전+바나힐+한시장)] [스톤마사지_UP] [호이안 낮과 밤 완전정복] [미슐랭 선정 맛집 2회 포함 차별화 6大특식],"[DANANG & SWEET] 여행의 시작과 끝, ALL SUITE ROOM, 멜리아빈펄 다낭 리버프런트 # 전 일정 5성급 월드체인호텔 SUITE ROOM(DLB) 숙박 # 자유시간 2회 제공 # 알차고 특별한 혜택 - 바나힐 테마파크(케이블카탑승+골든브릿지 등) [$70상당] - 호이안 야경투어(야시장, 연등구경 및 소원초띄우기) [$30상당] -'세계 6대 해변'이라 불리는 미케비치 템플다낭에서 음료제공 (음료OR커피 1잔 제공) - 전신마사지 60분 → 스톤 전신마사지 90분 업그레이드 # '식사의 기준을 높이다' # 단체식당 OUT, 식당 실명제 _ 전일정 차별화 6대 특식",정통,패키지,일반패키지,동남아,다낭,"다낭,호이안,대구",,다낭/호이안,다낭,휴양형,http://dimgcdn.lottetour.com/TN/dc/dc29fa8dc095a59fb90448a78ad743c9.tn.300x200.png,2024-07-30 17:24:29,2026-03-18 11:11:09
62653,1,B27A-0762653,"부산 [NO팁_NO옵션_자유시간 보장] 다낭 ,호이안 5일",▶[5성급호텔],#5성급 호텔 #바나힐 테마파크 #호이안 야경투어 #마사지 2회 #한강유람선 #바구니배 #선짜야시장,부담을 줄인 NO팁 / NO옵션 상품,정통,패키지,일반패키지,동남아,다낭,"다낭,부산,호이안",,다낭/호이안,다낭,휴양형,http://dimgcdn.lottetour.com/TN/d9/d960251a6c12bf55af5e649f2b82b824.tn.300x200.jpg,2024-09-04 17:33:38,2026-03-19 09:39:39
62401,1,B27A-0762401,"[정통][지금 더 특별한 여행 ALL SUITE] 다낭 ,호이안 4/5일",▶[멜리아빈펄(스위트룸)],◎ [전 일정 5성급 월드체인 스위트룸(DLB) 업그레이드] [자유시간 3회(호텔 오전+바나힐+한시장)] [스톤마사지_UP] [호이안 낮과 밤 완전정복] [미슐랭 선정 맛집 2회 포함 차별화 6大특식],"[DANANG & SWEET] 여행의 시작과 끝, ALL SUITE ROOM, 멜리아빈펄 다낭 리버프런트 # 전 일정 5성급 월드체인호텔 SUITE ROOM(DLB) 숙박 # 자유시간 2회 제공 # 알차고 특별한 혜택 - 바나힐 테마파크(케이블카탑승+골든브릿지 등) [$70상당] - 호이안 야경투어(야시장, 연등구경 및 소원초띄우기) [$30상당] -'세계 6대 해변'이라 불리는 미케비치 템플다낭에서 음료제공 (음료OR커피 1잔 제공) - 전신마사지 60분 → 스톤 전신마사지 90분 업그레이드 # '식사의 기준을 높이다' # 단체식당 OUT, 식당 실명제 _ 전일정 차별화 6대 특식",정통,패키지,일반패키지,동남아,다낭,"다낭,인천,호이안",,다낭/호이안/후에,다낭,휴양형,http://dimgcdn.lottetour.com/TN/dc/dc29fa8dc095a59fb90448a78ad743c9.tn.300x200.png,2024-07-26 17:00:21,2026-03-17 10:19:03
62122,1,B27A-0762122,"[정통][식사에 진심, 미식의 향연] 다낭 ,호이안 4/5일",▶[포 포인츠 바이 쉐라톤],"◎ [미케비치 바로 앞, 5성급 월드체인 호텔 숙박] [호텔 오전 자유 1회+한시장 자유 1회] [바나힐&호이안완전정복] [미슐랭 선정 맛집 3회 + SNS맛집 + 한식 맛집 포함_6大차별화미식]","[미식ing 맛있는 다낭] #미케비치 바로 앞, 월드체인 5성급 호텔 3박 #오전 자유시간 1회 제공 #THE 특별한 혜택 - 바나힐 테마파크(케이블카 탑승+골든브릿지 등) [$70상당] - 호이안 야경투어(야시장, 연등구경, 소원초 띄우기) [$30상당] - 다낭대성당/한시장 1시간 자유시간 보장!! - 전신 마사지 60분 → 120분 업그레이드 [$40상당] - 망고가든, 망고빙수 1인 1개 제공 #THE 업그레이드된 차별화 미식투어 # 미슐랭선정+SNS맛집포함 차별화 유명 로컬맛집으로만 구성된 업그레이드 6大특식",정통,패키지,일반패키지,동남아,다낭,"다낭,인천,호이안",,다낭/호이안/후에,다낭,휴양형,http://dimgcdn.lottetour.com/TN/71/713051d7a5cfb1a70d6028a7e8ad1b6e.tn.300x200.jpg,2024-06-18 12:18:26,2026-01-07 14:18:17
