board_seq,title,date,writer,product_code,category,product_title,content,keyword,page
318146,우리의 60기념여행,2026-03-26,김**,APP1142,패키지 > 동남아,[노쇼핑 / 마리나베이샌즈 호텔 1박 포함] 싱가포르 5일 # 1일자유,"많은 고민끝에 선택한 싱가포르여행, 7명의 친구들 모두 행복해하고 모든 일정 순조롭고 즐겁게 이어갈수 있었던건 지한별 가이드님의 노련한 리드와 정성스런 준비 또 재치가 있었기에 가능했던거 같습니다. 빛나는 추억여행이 되도록 애쎠주신 지한별 가이드님께 감사드리며 더욱 건강하시고 앞으로 모든 일들에 축복이 가득하시길 바랍니다♡",싱가포르,1
318128,행복했던 싱가폴 여행,2026-03-26,송**,APP1142,패키지 > 동남아,[노쇼핑 / 마리나베이샌즈 호텔 1박 포함] 싱가포르 5일 # 1일자유,지한별 가이드님과 함께한 저희 7명의 친구들~^^ 우여곡절 끝에 간 싱가폴 여행이라 별 기대없이 갔다가 지한별 가이드님의 친절한 안내와 입담으로 차안에서 즐겁고 관광지에선 제일 좋은 자리 선점으로 저희들 모두를 만족 시켜주셨습니다~ 슈퍼트리야경 볼때는 손수 큰 비닐도 준비해 주셔서 누워서 감상했던 기억은 지금도 잊을 수가 없습니다. 가이드님의 준비성에 박수를 보냅니다~♡ 글구 선택관광이었던 리버보트를 탔던 시간대도 해질무렵으로해서 야경까지 볼 수있게 해 주신점도 너무 좋았습니다~ 공항으로 갈때도 끝까지 저희들의 의견을 들어 주신 지한별가이드님께 우리모두 감사히 생각하고 있습니다 덕분에 너무나 즐거운 여행이었습니다~♡,싱가폴,1
317423,멋지신 백영호가이드님 덕분에...,2026-03-22,최**,APP1141,패키지 > 동남아,[노쇼핑/오차드 시내 중심 호텔 숙박] 싱가포르 5일 # 1일 자유,3박5일동안 너무 편안하고 멋진 싱가포르여행 행복하게 잘하고 왔습니다. 제가 무릎수술하고 얼마되지 않아서 떠난여행이라 걱정이 많았는데 백영호가이드님에 자상함과 배려심 덕분에 전혀 불편함없이 가족모두 감사한마음 가득안고 돌아왔습니다. 35개 나라를 여행했지만 참좋은 여행사는 처음이었는데 좋다 좋다 참 좋다는 말처럼 정말 너무 좋았어요^^ 다음 여행갈때도 참 좋은여행사로 가가로 가족과 합의를 봤습니다 ㅎ ㅎ ㅎ 백영호가이드님 신경써주셔서 너무 감사했습니다 항상 건강하시고 행복하세요.,싱가포르,1
317210,싱가포르 안은정 가이드,2026-03-20,조**,APP1142,패키지 > 동남아,[노쇼핑 / 마리나베이샌즈 호텔 1박 포함] 싱가포르 5일 # 1일자유,"안은정 가이드님과 함께한 3박 5일 일정은 정말 기억에 남는 여행이었습니다. 전반적으로 진행이 매끄럽고 편안해서 처음부터 끝까지 부담 없이 즐길 수 있었어요. 특히 여행 중에 몸이 안 좋은 인원이 있었는데도 빠르게 상황을 정리해주시고 세심하게 챙겨주시는 모습이 인상적이었습니다. 첫날에는 다소 피곤한 상태였는데, 가이드님의 밝고 유쾌한 분위기 덕분에 금세 컨디션이 풀리고 여행에 몰입할 수 있었습니다. 이동하는 동안에도 싱가포르에 대한 흥미로운 이야기들을 계속 들려주셔서 전혀 지루하지 않았고, 오히려 그 시간이 기대될 정도였어요. 전체적으로 굉장히 안정감 있고 만족스러운 여행이었고, 다음에 다시 싱가포르를 방문하게 된다면 꼭 다시 함께하고 싶은 가이드님입니다. 경험과 센스를 모두 갖춘, 믿고 맡길 수 있는 최고의 가이드였다고 생각합니다.",싱가포르,1
315873,13명의 친목여행,2026-03-12,조**,APP1141,패키지 > 동남아,[노쇼핑/오차드 시내 중심 호텔 숙박] 싱가포르 5일 # 1일 자유,9년전에 여행하고 너무너무 좋아서 또 여행했는대 싱가포르여행은 공기조차도좋아서 방문을 잘했다고 생각합니다 크리스탈윤가이드님 만나서 행복했어요 여행내내 한가지라도 알려주고 도움주려고 노력하는열정에 박수보냅니다 감사했어요,싱가포르,1
315591,싱가폴 투어를 하면서,2026-03-11,황**,AGI000,패키지 > 동남아,동남아 크루즈 7~8일 #로얄캐리비안 네비게이터 호,인천공항에서 첫 미팅때부터 밝은 모습으로 인사해주시고 일행들 여덟명을 인솔하시는데도 힘든 기색 없이 한분 한분을 신경 쓰시는 모습에 감동을 받고 조금이라도 더 보여주려고 노력 많이 하신 김은정가이드님께도 감사하고 짧은 여행이었지만 재미난 사투리와 퀵쉐어로 사진도 보내주신 점 잊지 않겠습니다 점수를 매긴다면 백점을 못 드리고 만점을 드리고 싶어집니다,싱가폴,1
315081,너무 좋았던 싱가포르 여행(●&#39;◡&#39;●),2026-03-08,김**,APP5141,패키지 > 동남아,[노쇼핑/월드체인 호텔]싱가포르 5일 #1일자유 #미식여행,"3월 2일에 출발했던 싱가폴팀 모녀입니다. 기존에 패키지라고 하면 약간은 힘든 일정이지 않을까 하는 생각이 들었는데, 이번 싱가포르 패키지는 여유가 있는 편안한 일정이었습니다. 대형버스로 진행되어서 이동도 아주 편했습니다. 같이 여행하신 분들도 약속시간을 매번 정확히 잘 맞추시고 서로 불편함 없이 분위기가 너무 좋았습니다.😊 특히나 정진호 가이드님께서 인솔도 너무 잘해주시고, 설명도 재미있게 잘해주셨습니다. 경제, 문화, 역사 등 지루하지않게 설명을 해주시니 이동시간도 더 짧게 느껴졌습니다. 깃발하나 없이도 모든 일행이 한번에 뭉쳐서 움직일 수 있게 진행하시는 모습에서 역시 베테랑 가이드라는 생각이 들었습니다 👍👍👍 사진도 특정 포인트에서 한팀씩 다 찍어주셨는데, 딱 1, 2컷만 찍어주셔도 인생샷이 나왔습니다 ㅎㅎ 모든 일행이 불편함이 없도록 카톡으로 언제든 소통해주셔서, 어른들을 모시고 가도 전혀 문제가 없는 안전한 여행이 되었습니다. 패키지를 여러번 다녀봤지만, 만났던 가이드님 중 가장 최고로 완벽하셨습니다🤭🤭🤭👍 저희는 1박은 마리나베이샌즈 호텔에서 묵었기 때문에 나머지 2박은 저렴한 호텔이어도 상관없었지만, 솔직히 2박을 숙박한 호텔의 컨디션은 4성급이라고 하기에는 너무 부족하지 않았나 싶습니다. 다른 일행분들도 호텔을 아쉬워하는 분위기였습니다.. 호텔만 개선된다면 완벽한 패키지라고 생각합니다😁 가이드님 덕분에 더 인상깊은 여행이 되었고, 오래도록 기억에 남는 추억이 될 것같습니다.",싱가포르,1
314113,(정용우 가이드님)일정·음식·가이드까지 완벽했던 싱가포르 여행,2026-03-01,김**,APP1141,패키지 > 동남아,[노쇼핑/오차드 시내 중심 호텔 숙박] 싱가포르 5일 # 1일 자유,"싱가포르 패키지 구성과 가격이 너무 좋아서 아들이랑 급하게 예약하고 떠난 여행이었어요. 준비 없이 출발하는 게 아닌가 걱정도 했는데, 괜한 걱정이더라고요😊 패키지라 일정은 알차게 짜여 있었고, 이동도 편했고 음식도 기대 이상으로 모두 맛있었어요. 핵심 코스만 딱 잘 담겨 있어서 짧은 일정이었지만 아주 만족스러운 여행이었습니다. 무엇보다 함께해 주신 정용우 가이드님 덕분에 여행이 더 즐거웠어요. 설명도 귀에 쏙쏙 들어오게 잘해주시고, 센스 있게 사진도 정말 예술로 찍어주셔서 저는 개인 사진을 따로 안 찍어도 될 정도였답니다 ㅎㅎ 특히 이동 중에만 비가 오고 도착하면 그치는 ‘타이밍의 마법’도 놀라웠어요. 센토사섬 루지 탈 때도 비를 피하려고 일정을 빠르게 조정해 주셨는데, 정말 이동할 때만 비가 와서 감탄했어요 👍 여행 내내 세심하게 챙겨주시고 고생해주신 정용우 가이드님께 다시 한 번 감사드립니다. 좋은 가격에 이렇게 만족도 높은 싱가포르 여행을 다녀와서 정말 행복했어요!!",싱가포르,1
313961,싱가폴 여행을 마치고...,2026-02-27,최**,APP1145,패키지 > 동남아,[노쇼핑/유니버셜스튜디오 포함] 싱가포르 5일 #전일관광,"몇번의 예약과 취소가 반복되면서 조급함에 비행기가 뜰 수 있는 여행으로 알아본 곳이 싱가폴이었다. 급한 마음에 결정한 여행지라 설레는 준비없이 가방을 쌌다. 싱가폴 창이 공항에 도착후 박혜련가이드를 만나면서 본격적으로 여행에 대한 설렘과 흥분이 달아오르기 시작했다. 투어내내 마이크를 손에서내려놓지않고 싱가폴의 문화,역사,경제 등 인문학에서 관광까지 지루할 틈이 없었다. 나의 여행이 박혜련 가이드님의 여행처럼 늘 발벗고 뛰어다니시면 가장 좋은 자리와 가장 좋은 관람시간을 위해 애쓰는 모습이정말 감사했다. 패키지 여행을 하다보면 원치않는 선택이나 쇼핑을해야 할 경우가 생기기 마련인데, 박혜련가이드님은 선택을 강요하거나 쇼핑에 대한 부담을 주지 않아 좋았다. 이번 여행은 박혜련가이드님 덕분에 매우 즐겁고 유쾌한 추억을 쌓을수 있어서 좋았다. 박혜련가이드님 같은분만 만나면 여행의 즐거움을 찾을수 있을것 같습니다. 박혜련가이드님 화이팅~~~~",싱가폴,1
313355,힐링이 있는 여유로운 여행,2026-02-24,강**,APP7143,패키지 > 동남아,[4인 출발 확정] 싱가포르 5일 #노팁+노쇼핑+노옵션 #전일 관광 #시내 특급호텔,멀리 가기로 계획했다 사정으로 가까운 싱가폴로 다녀오게 된 여행에서 행복하고 여유로운 시간을 가질 수 있어 좋았습니다. 친구 또래의 친절한 가이드님과 패키지를 빙자한 우리 1팀으로 이루어진 편안한 패키지 자유여행을 할 수 있어 넘 좋았습니다. 감사합니다😍,싱가폴,1
