query_keyword,title,link,description,pub_date
다낭 여행,"중동 리스크에 갇힌 항공업계, 유류할증료 '3배 폭등'",http://www.ftoday.co.kr/news/articleView.html?idxno=356722,"이에 따른 해외여행을 계획 중인 소비자들의 부담이 크게 늘어날 것으로 보인다. 21일 항공업계에... 노선별로는 후쿠오카 등 단거리에 3만800원, 다낭·세부 등 중거리에 8만7900원, 파리·로마·시드니 등 장거리... ","Sat, 21 Mar 2026 14:10:00 +0900"
다낭 여행,"[하늘길] 3월 4주, 봄 여행 프로모션…티웨이 외 2가지 항공",https://www.shinailbo.co.kr/news/articleView.html?idxno=5003276,"생활 속 뗄 수 없는 '교육, 가전·가정제품, 게임, 자동차, 항공여행' 업종을 선정, 매주 분야별... 아시아 노선은 △나리타 20만5600원 △방콕 24만4900원 △다낭 23만5800원 △홍콩 26만700원부터 구매할 수 있다. 탑승... ","Sat, 21 Mar 2026 08:00:00 +0900"
다낭 여행,봄 성수기 앞두고 여행업계 할인 프로모션 진행,http://digitalchosun.dizzo.com/site/data/html_dir/2026/03/20/2026032080257.html,"서미영 기자 | 유류할증료 인상과 고환율이 맞물리며 해외여행 비용 부담이 커지고 있음에도, 봄 여행... 일본 주요 도시 및 오키나와 숙소는 최대 64% 할인되며, 다낭·나트랑·푸꾸옥 등 베트남 인기 지역 호텔에는 1박... ","Fri, 20 Mar 2026 17:44:00 +0900"
다낭 여행,[여행기획] 5월 가정의 달 맞아 온 가족이 만족할 만한 국내외 여행지 ...,https://www.discoverynews.kr/news/articleView.html?idxno=1087343,"베트남 다낭 &amp; 호이안 (효도·휴양형) 부모님을 모시는 효도 여행과 아이들이 즐거운 휴양을 모두 충족하는 '실패 없는' 목적지이다. 또한 5월은 건기로 여행하기 쾌적하며, 비행시간이 약 4시간 30분으로 짧아 부담이 적다.... ","Fri, 20 Mar 2026 14:44:00 +0900"
다낭 여행,"하노이 노이바이·다낭국제공항, 세계100대 공항 올라…스카이트랙스",https://www.insidevina.com/news/articleView.html?idxno=42787,Bai)과 다낭국제공항 등 베트남 주요 공항 2곳이 선정됐다. 노이바이공항은 지난해보다 8계단 상승한... 이번 순위는 전 세계 여행객을 대상으로 △체크인 △도착 및 환승 △쇼핑 △보안검색 △출입국 심사 △출국... ,"Fri, 20 Mar 2026 13:06:00 +0900"
다낭 여행,"[돋보기] 롯데면세점, 명가 재건 '정조준'",https://www.shinailbo.co.kr/news/articleView.html?idxno=5002758,"더불어 지난해 2월 뉴질랜드 웰링턴 공항점, 같은 해 5월 베트남 다낭 시내점과 호주 다윈 공항점의 영업을... 자유여행객(FIT) 유치에 나섰다. 지난 1월에는 롯데면세점 명동본점의 '스타에비뉴'를 리뉴얼 오픈했다.... ","Fri, 20 Mar 2026 05:00:00 +0900"
다낭 여행,제주항공 4월 유류할증료 최대 3배 인상…최고 68달러,https://n.news.naver.com/mnews/article/448/0000597741?sid=101,"1,500~2,000마일 구간인 세부·다낭·사이판 노선 등에는 53달러, 2,500마일 이상인 싱가포르·바탐 노선 등에는... 만회하기에는 역부족인 상황이며 유가 상승 장기화로 인해 실제 여행 심리가 위축될 가능성을 우려하고 있다.","Thu, 19 Mar 2026 23:29:00 +0900"
다낭 여행,한남대 호텔항공경영학과 학생들 SNS 글로벌 여행 공유 누적 조회수 500...,https://www.kyosu.net/news/articleView.html?idxno=201289,"학생들은 베트남 다낭을 비롯해 태국 방콕, 캐나다, 미국, 세부, 중국, 스페인, 터키, 이집트 등 해외 곳곳을 자유 여행하며 벌어지는 에피소드와 문화를 솔직하게 담아냈다. 비전문가들이 제작한 영상이지만 콘텐츠의... ","Thu, 19 Mar 2026 18:16:00 +0900"
다낭 여행,"대목 앞둔 항공사, 이란 發 돌발 악재에 '비명'",https://www.ajunews.com/view/20260319152055351,"인천~다낭 노선은 연초 대비 45.5%, 인천~도쿄 노선도 42.9% 인상됐다. 가족 단위 여행객들이 몰리는 동남아 노선의 경우 휴가철에 앞서 미리 발권하려는 수요가 많아 이번 전쟁 여파가 더 클 것으로 전망된다.... ","Thu, 19 Mar 2026 18:02:00 +0900"
다낭 여행,K-직장인 “연차는 아끼지만 여행은 더 자주 갈 것”,https://m.skyedaily.com/news_view.html?ID=300676,"국내 여행지 또한 30%로 높은 응답률을 보였으며 도쿄와 다낭 사이에 제주도가 5위에 올랐다. 스카이스캐너 기준 검색량이 증가한 여행지 1위는 일본 도쿠시마다. 기존 대비 486%, 즉 6배 가까이 폭증했다. 그 뒤를... ","Thu, 19 Mar 2026 17:52:00 +0900"
다낭 여행,"상해·발리, 청주공항서 바로 떠난다",https://n.news.naver.com/mnews/article/047/0002508700?sid=103,"동남아 노선은 다낭과 나트랑(베트남), 앙헬레스(필리핀), 발리(인도네시아) 등으로 운영된다. 특히 이번... 해외여행 선택지를 넓힐 것으로 기대된다. 국토교통부는 이번 일정 확정과 함께 항공 안전 관리도 강화했다고... ","Thu, 19 Mar 2026 17:26:00 +0900"
다낭 여행,글로벌 여행 콘텐츠 500만 조회,https://www.ccdailynews.com/news/articleView.html?idxno=2404430,"학생들은 베트남 다낭, 태국 방콕, 캐나다, 미국, 세부, 중국, 스페인, 터키, 이집트 등 다양한 국가를 여행하며 현지 문화와 여행 경험을 영상 콘텐츠로 제작해 공유하고 있다. ▲ 크로스더 라인 전문 제작진이 아닌... ","Thu, 19 Mar 2026 17:08:00 +0900"
다낭 여행,"제주항공, 국제선 유류할증료 최대 3배 인상...소비자 가격 부담 ↑",https://www.joongangenews.com/news/articleView.html?idxno=504116,"1500~2000마일 구간(세부·다낭·사이판 등)은 53달러, 2500마일 이상 장거리 노선(싱가포르·바탐 등)은... 유가 상승세가 장기화할 경우 항공권 가격 부담 증가로 여행 수요가 위축될 수 있다는 우려도 제기된다. 업계... ","Thu, 19 Mar 2026 17:04:00 +0900"
다낭 여행,한남대 호텔항공과 학생들 SNS 글로벌 여행 공유 누적 조회수 500만회 달...,https://n.news.naver.com/mnews/article/021/0002778461?sid=102,"학생들은 베트남 다낭을 비롯해 태국 방콕, 캐나다, 미국, 세부, 중국, 스페인, 터키, 이집트 등 해외 곳곳을 자유 여행하며 벌어지는 에피소드와 문화를 솔직하게 담아냈다. 비전문가들이 제작한 영상이지만 콘텐츠의... ","Thu, 19 Mar 2026 16:48:00 +0900"
