keyword,travel_style,dep_dt,arr_dt,evt_status_nm,evt_nm1,evt_nm2,god_nm1,god_nm2,menu_4lvl_nm,price_adt,evt_dt_cnt,evt_night_cnt,carrier,dep_place,event_code,god_id,detail_url
다낭,휴양형,20260321,20260325,행사취소,"부산 [대한항공][자유여행] 다낭,호이안 5일",▶[미카즈키 다낭 리조트],부산 [자유여행][미카즈키 리조트],"▶다낭,호이안 5일",휴양 & 자유여행,629000,5,3,대한항공,부산,B27A260321KE067,65295,
다낭,휴양형,20260321,20260325,판매마감,"대구 [NO옵션][PREMIUM COLLECTION_모든 것이 특별한 ALL SUITE] 다낭,호이안 5일",▶[윈덤 솔레일(스위트룸)](2025 신규오픈),"대구 [NO옵션][PREMIUM COLLECTION_모든 것이 특별한 ALL SUITE] 다낭,호이안 5일",▶[윈덤 솔레일(스위트룸)](2025 신규오픈),NO옵션,899000,5,3,티웨이항공,대구,B27A260321TW110,65271,
다낭,휴양형,20260321,20260325,행사취소,"청주 [TW][NO옵션] 다낭,호이안 5일",▶[힐튼],"청주 [NO옵션][THE NEW PREMIUM] 다낭,호이안 5/6일",▶[힐튼],베트남-다낭/호이안,899000,5,3,티웨이항공,청주,B27A260321TW073,64198,
다낭,휴양형,20260321,20260325,행사취소,"부산 [비즈니스_대한항공] 다낭,호이안 5일",▶[래디슨],"부산 [비즈니스_대한항공][다시, 푸른바다 미케비치 위에 서다] 다낭,호이안 5일",▶[래디슨],다낭/호이안,1699000,5,3,대한항공,부산,B27A260321KE064,65472,
다낭,휴양형,20260321,20260325,행사취소,"부산 [비즈니스_대한항공][NO옵션] 다낭,호이안 5일",▶[힐튼],"부산 [비즈니즈_대한항공][NO옵션][THE NEW PREMIUM 더할 나위 없는 완벽한] 다낭,호이안 5일",▶[힐튼],다낭/호이안,1899000,5,3,대한항공,부산,B27A260321KE063,65464,
다낭,휴양형,20260321,20260325,판매마감,대구 [품격][PRIVATE TOUR][NO팁/NO옵션/NO쇼핑] 다낭 5일,▶[힐튼](이그제큐티브룸UP),대구 [품격][PRIVATE TOUR][NO팁/NO옵션/NO쇼핑] 다낭 5일,▶[힐튼](이그제큐티브룸UP),★PRIVATE_TOUR★,2849000,5,3,티웨이항공,대구,B27A260321TW123,65537,
나트랑,휴양형,20260321,20260325,행사취소,부산[TW][NO팁/NO옵션/5성호텔][머드온천+전신마사지 2회+랑비엥 짚차+천국의계단+레일바이크+야간시티투어],▶나트랑+달랏 5일,부산[NO팁/NO옵션/5성호텔][머드온천+전신마사지 2회+랑비엥 짚차+천국의계단+레일바이크+야간시티투어],▶나트랑+달랏 5일,나트랑/달랏,599000,5,3,티웨이항공,부산,B30A260321TW111,63865,
나트랑,휴양형,20260321,20260325,판매마감,"청주[TW]나트랑,달랏 5일",▶[베스트웨스턴 X 골든 선],"청주[정통][황금빛 해변, 푸른 바다의 만남]나트랑,달랏 5일",▶[베스트웨스턴 프리미어 X 골든 선],베트남-나트랑/달랏,799000,5,3,티웨이항공,청주,B30A260321TW086,64968,
나트랑,휴양형,20260321,20260325,판매마감,"청주[TW]나트랑,달랏 5일",▶[베스트웨스턴 프리미어],"청주[정통][손잡고 걷는 해변, 그 순간의 행복] 나트랑,달랏 5일",▶[베스트웨스턴 프리미어],베트남-나트랑/달랏,799000,5,3,티웨이항공,청주,B30A260321TW103,65221,
나트랑,휴양형,20260321,20260325,행사취소,"대구 [TW|3N5D] [NO옵션]나트랑,달랏 5일",▶[베스트웨스턴 프리미어 X 멀펄],"대구 [NO옵션][섬세하게 준비된 힐링] 나트랑,달랏 5일/6일",▶[베스트웨스턴 프리미어 X 멀펄],NO옵션,849000,5,3,티웨이항공,대구,B30A260321TW104,65214,
나트랑,휴양형,20260321,20260325,판매마감,"청주[TW][NO옵션]나트랑,달랏 5일",▶[베스트웨스턴 프리미어(2박) X 골든 선],"청주[정통][NO옵션][두 도시, 두 감성 그리고 나의 여행] 나트랑,달랏 5일",▶[베스트웨스턴 프리미어(2박) X 골든 선],베트남-나트랑/달랏,899000,5,3,티웨이항공,청주,B30A260321TW069,64777,
나트랑,휴양형,20260321,20260325,판매마감,"청주[TW][NO옵션]나트랑,달랏 5일",▶[멜리아(스위트룸) X 멀펄],"청주[정통][NO옵션][피어나는 설렘, 따뜻한 감성] 나트랑,달랏 5일",▶[멜리아(스위트룸) X 멀펄],베트남-나트랑/달랏,919000,5,3,티웨이항공,청주,B30A260321TW083,64963,
나트랑,휴양형,20260321,20260325,판매마감,"★출발확정★청주[TW][NO옵션]나트랑,달랏 5일",▶[멜리아(스위트)X그랜드 머큐어],"청주[정통][NO옵션][꽃으로 물든 도시를 엿보다] 나트랑,달랏 5일",▶[멜리아(스위트룸) X 그랜드 머큐어],베트남-나트랑/달랏,999000,5,3,티웨이항공,청주,B30A260321TW062,64706,
나트랑,휴양형,20260321,20260325,판매마감,【골퍼들의 천국】,나트랑 윈덤 그랜드 KN 풀빌라 + KN 링크스 GC 3박5일 (54H),【골퍼들의 천국】,나트랑 윈덤 그랜드 KN 풀빌라 + KN 링크스 GC 3박5일 (54H),태국/베트남 골프,1690000,5,3,티웨이항공,인천,B30D260321TW073,63758,
나트랑,휴양형,20260321,20260325,판매마감,부산[BX][PRIVATE TOUR][NO팁/NO옵션NO쇼핑] 나트랑 5일,▶[인터컨티넨탈 나트랑(롯데관광 단독계약)],부산[품격][PRIVATE TOUR][NO팁/NO옵션/NO쇼핑] 나트랑 5일,▶[인터컨티넨탈 나트랑(롯데관광 단독계약)],NO옵션,3030000,5,3,에어부산,부산,B30A260321BX052,65478,
